5093094,48.80142335,2.13160162,130.572,146.77,-0.609,-1.827
5133120,48.80142202,2.13160292,130.575,146.843,-0.594,-1.855
5173090,48.80142069,2.1316042,130.576,146.923,-0.617,-1.855
5213645,48.80141936,2.13160547,130.577,147.018,-0.634,-1.931
5253125,48.80141803,2.13160675,130.579,147.158,-0.611,-1.951
5293112,48.8014167,2.13160802,130.582,147.307,-0.599,-1.951
5333144,48.80141538,2.13160928,130.584,147.449,-0.572,-1.971
5373091,48.80141405,2.13161054,130.586,147.625,-0.536,-1.982
5413647,48.80141273,2.13161178,130.588,147.783,-0.475,-2.069
5453100,48.8014114,2.13161301,130.589,147.946,-0.44,-2.154
5493150,48.80141007,2.13161424,130.59,148.121,-0.373,-2.262
5533090,48.80140874,2.13161545,130.59,148.311,-0.324,-2.349
5573103,48.80140742,2.13161666,130.593,148.472,-0.319,-2.371
5613638,48.8014061,2.13161785,130.596,148.643,-0.332,-2.358
5653076,48.80140479,2.13161903,130.601,148.807,-0.365,-2.299
5693104,48.8014035,2.13162019,130.605,148.944,-0.407,-2.234
5733148,48.80140286,2.13162203,130.612,149.078,-0.463,-2.221
5773075,48.80140159,2.13162316,130.615,149.208,-0.523,-2.218
5813639,48.80140034,2.13162429,130.618,149.334,-0.542,-2.25
5853168,48.80139909,2.13162539,130.621,149.469,-0.532,-2.273
5893162,48.80139786,2.13162648,130.623,149.612,-0.551,-2.302
5933084,48.80139663,2.13162756,130.625,149.759,-0.578,-2.309
5973070,48.8013954,2.13162863,130.628,149.897,-0.578,-2.312
6013677,48.80139418,2.13162969,130.632,150.042,-0.547,-2.269
6053132,48.80139297,2.13163073,130.636,150.182,-0.529,-2.22
6093088,48.80139176,2.13163176,130.641,150.322,-0.542,-2.157
6133100,48.80139055,2.13163278,130.645,150.458,-0.55,-2.111
6173131,48.80138947,2.13163412,130.646,150.606,-0.502,-2.1
6213640,48.80138827,2.13163514,130.649,150.757,-0.444,-2.117
6253144,48.80138707,2.13163615,130.652,150.905,-0.446,-2.145
6293121,48.80138587,2.13163714,130.655,151.052,-0.492,-2.152
6333082,48.80138467,2.13163814,130.658,151.203,-0.538,-2.131
6373136,48.80138347,2.13163913,130.662,151.349,-0.566,-2.1
6413668,48.80138228,2.13164012,130.665,151.49,-0.602,-2.055
